index,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,index,Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,index,Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
238,FLL,2011,104576,103097,0.7665,0.7049,0.7647,14.5,15.87,4.16,17.8,2.08,1.12,3.46,14.28,238,FLL,2011,767,745,206,128,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
237,FLL,2010,104078,102652,0.772,0.7276,0.7713,14.17,15.13,3.24,16.71,3.04,1.06,3.21,13.67,237,FLL,2010,750,733,202,126,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
236,FLL,2009,102633,101149,0.7687,0.7213,0.7719,14.02,15.75,3.68,16.81,2.95,1.29,3.67,13.33,236,FLL,2009,381,376,225,128,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
235,FLL,2008,113379,112391,0.755,0.6863,0.7326,15.67,16.59,4.77,19.63,2.8,1.21,4.13,16.04,235,FLL,2008,542,500,235,197,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
234,FLL,2007,117119,116401,0.7411,0.6724,0.7247,15.62,15.72,4.45,19.4,2.56,1.24,3.68,16.31,234,FLL,2007,709,674,232,130,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
233,FLL,2006,111601,110317,0.7736,0.7279,0.7762,13.13,15.28,3.83,15.92,3.58,1.04,3.22,12.77,233,FLL,2006,526,501,238,121,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
232,FLL,2005,121481,120277,0.7194,0.6436,0.7197,16.6,16.78,5.4,20.96,3.67,1.2,4.13,16.34,232,FLL,2005,1367,1302,205,187,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
231,FLL,2004,106389,106749,0.7699,0.7044,0.7454,13.27,16.27,4.67,16.89,3.5,0.93,3.83,14.38,231,FLL,2004,987,963,199,124,40,801,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
667,RSW,2014,34687,34572,0.7816,0.7525,0.7558,13.91,12.31,2.45,15.67,2.61,1.02,3.93,14.58,650,RSW,2014,384,350,92,82,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
666,RSW,2013,35396,35252,0.8139,0.788,0.7735,11.66,12.21,2.34,13.25,2.19,1.03,3.88,12.59,649,RSW,2013,156,138,76,59,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
